timestamp,target_temp,temp_ext,power,temp_int
2024-01-01T00:05:00,20.0,5.01,0.0,19.8751
2024-01-01T00:10:00,20.0,5.28,0.0,19.7534
2024-01-01T00:15:00,20.0,5.3,72.38,19.7838
2024-01-01T00:20:00,20.0,5.13,72.38,19.8125
2024-01-01T00:25:00,20.0,5.46,72.38,19.8437
2024-01-01T00:30:00,20.0,5.37,61.58,19.8514
2024-01-01T00:35:00,20.0,5.72,61.58,19.8619
2024-01-01T00:40:00,20.0,5.83,61.58,19.8732
2024-01-01T00:45:00,20.0,5.92,63.93,19.8902
2024-01-01T00:50:00,20.0,5.87,63.93,19.9065
2024-01-01T00:55:00,20.0,5.99,63.93,19.9237
2024-01-01T01:00:00,20.0,6.17,61.92,19.9381
2024-01-01T01:05:00,20.0,6.46,61.92,19.9548
2024-01-01T01:10:00,20.0,6.3,61.92,19.97
2024-01-01T01:15:00,20.0,6.37,53.82,19.9688
2024-01-01T01:20:00,20.0,6.63,53.82,19.9697
2024-01-01T01:25:00,20.0,6.8,53.82,19.9721
2024-01-01T01:30:00,20.0,6.69,56.35,19.9788
2024-01-01T01:35:00,20.0,6.78,56.35,19.9862
2024-01-01T01:40:00,20.0,6.87,56.35,19.9943
2024-01-01T01:45:00,20.0,6.99,52.73,19.9958
2024-01-01T01:50:00,20.0,7.25,52.73,19.9995
2024-01-01T01:55:00,20.0,7.23,52.73,20.0029
2024-01-01T02:00:00,20.0,7.28,54.17,20.0097
2024-01-01T02:05:00,20.0,7.42,54.17,20.0177
2024-01-01T02:10:00,20.0,7.55,54.17,20.0266
2024-01-01T02:15:00,20.0,7.63,45.52,20.0182
2024-01-01T02:20:00,20.0,7.87,45.52,20.0118
2024-01-01T02:25:00,20.0,8.0,45.52,20.0065
2024-01-01T02:30:00,20.0,7.88,44.86,19.9989
2024-01-01T02:35:00,20.0,8.17,44.86,19.9938
2024-01-01T02:40:00,20.0,8.12,44.86,19.9883
2024-01-01T02:45:00,20.0,8.29,44.23,19.983
2024-01-01T02:50:00,20.0,8.41,44.23,19.9787
2024-01-01T02:55:00,20.0,8.53,44.23,19.9755
2024-01-01T03:00:00,20.0,8.31,52.4,19.9874
2024-01-01T03:05:00,20.0,8.42,52.4,20.0002
2024-01-01T03:10:00,20.0,8.78,52.4,20.0158
2024-01-01T03:15:00,20.0,8.86,46.31,20.0194
2024-01-01T03:20:00,20.0,8.66,46.31,20.0212
2024-01-01T03:25:00,20.0,8.82,46.31,20.0243
2024-01-01T03:30:00,20.0,9.02,42.71,20.0216
2024-01-01T03:35:00,20.0,9.17,42.71,20.0202
2024-01-01T03:40:00,20.0,8.87,42.71,20.0163
2024-01-01T03:45:00,20.0,9.1,38.7,20.0059
2024-01-01T03:50:00,20.0,9.16,38.7,19.9962
2024-01-01T03:55:00,20.0,9.06,38.7,19.9857
2024-01-01T04:00:00,20.0,9.42,41.95,19.9851
2024-01-01T04:05:00,20.0,9.18,41.95,19.9824
2024-01-01T04:10:00,20.0,9.54,41.95,19.9828
2024-01-01T04:15:00,20.0,9.54,38.68,19.9764
2024-01-01T04:20:00,20.0,9.64,38.68,19.9708
2024-01-01T04:25:00,20.0,9.66,38.68,19.9655
2024-01-01T04:30:00,20.0,9.69,41.28,19.9659
2024-01-01T04:35:00,20.0,9.64,41.28,19.9658
2024-01-01T04:40:00,20.0,9.52,41.28,19.9648
2024-01-01T04:45:00,20.0,9.86,38.08,19.9599
2024-01-01T04:50:00,20.0,9.58,38.08,19.9528
2024-01-01T04:55:00,20.0,9.66,38.08,19.9463
2024-01-01T05:00:00,20.0,9.71,45.32,19.9554
2024-01-01T05:05:00,20.0,9.78,45.32,19.9651
2024-01-01T05:10:00,20.0,10.05,45.32,19.9769
2024-01-01T05:15:00,20.0,10.07,43.63,19.9853
2024-01-01T05:20:00,20.0,9.76,43.63,19.991
2024-01-01T05:25:00,20.0,9.9,43.63,19.9977
2024-01-01T05:30:00,20.0,9.96,41.13,19.9998
2024-01-01T05:35:00,20.0,10.07,41.13,20.0027
2024-01-01T05:40:00,20.0,10.09,41.13,20.0058
2024-01-01T05:45:00,20.0,10.0,35.5,19.9964
2024-01-01T05:50:00,20.0,10.04,35.5,19.9874
2024-01-01T05:55:00,20.0,9.89,35.5,19.9772
2024-01-01T06:00:00,20.0,10.03,36.22,19.9698
2024-01-01T06:05:00,20.0,10.02,36.22,19.9623
2024-01-01T06:10:00,20.0,9.87,36.22,19.9537
2024-01-01T06:15:00,20.0,10.01,40.6,19.9554
2024-01-01T06:20:00,20.0,9.89,40.6,19.9562
2024-01-01T06:25:00,20.0,9.95,40.6,19.9574
2024-01-01T06:30:00,20.0,9.97,39.38,19.9561
2024-01-01T06:35:00,20.0,10.1,39.38,19.956
2024-01-01T06:40:00,20.0,10.0,39.38,19.9551
2024-01-01T06:45:00,20.0,9.88,40.06,19.9546
2024-01-01T06:50:00,20.0,9.91,40.06,19.9544
2024-01-01T06:55:00,20.0,9.94,40.06,19.9544
2024-01-01T07:00:00,20.0,10.01,46.02,19.9674
2024-01-01T07:05:00,20.0,9.85,46.02,19.979
2024-01-01T07:10:00,20.0,9.81,46.02,19.9901
2024-01-01T07:15:00,20.0,9.76,39.79,19.9877
2024-01-01T07:20:00,20.0,9.85,39.79,19.9861
2024-01-01T07:25:00,20.0,9.64,39.79,19.9828
2024-01-01T07:30:00,20.0,9.52,46.89,19.9933
2024-01-01T07:35:00,20.0,9.82,46.89,20.0062
2024-01-01T07:40:00,20.0,9.55,46.89,20.0168
2024-01-01T07:45:00,20.0,9.41,41.71,20.0154
2024-01-01T07:50:00,20.0,9.44,41.71,20.0141
2024-01-01T07:55:00,20.0,9.48,41.71,20.0132
2024-01-01T08:00:00,20.0,9.52,45.56,20.0207
2024-01-01T08:05:00,20.0,9.48,45.56,20.0278
2024-01-01T08:10:00,20.0,9.11,45.56,20.0317
2024-01-01T08:15:00,20.0,9.15,42.13,20.0289
2024-01-01T08:20:00,20.0,9.09,42.13,20.0255
2024-01-01T08:25:00,20.0,9.02,42.13,20.0215
2024-01-01T08:30:00,20.0,9.02,44.11,20.0217
2024-01-01T08:35:00,20.0,8.8,44.11,20.02
2024-01-01T08:40:00,20.0,8.73,44.11,20.0178
2024-01-01T08:45:00,20.0,8.88,45.4,20.0196
2024-01-01T08:50:00,20.0,8.63,45.4,20.0192
2024-01-01T08:55:00,20.0,8.84,45.4,20.0207
2024-01-01T09:00:00,20.0,8.71,39.79,20.0093
2024-01-01T09:05:00,20.0,8.5,39.79,19.9962
2024-01-01T09:10:00,20.0,8.46,39.79,19.983
2024-01-01T09:15:00,20.0,8.5,47.08,19.9854
2024-01-01T09:20:00,20.0,8.27,47.08,19.9859
2024-01-01T09:25:00,20.0,8.38,47.08,19.9872
2024-01-01T09:30:00,20.0,8.26,52.54,19.9989
2024-01-01T09:35:00,20.0,8.13,52.54,20.0095
2024-01-01T09:40:00,20.0,7.94,52.54,20.0184
2024-01-01T09:45:00,20.0,7.92,51.44,20.0247
2024-01-01T09:50:00,20.0,7.74,51.44,20.0295
2024-01-01T09:55:00,20.0,7.88,51.44,20.0354
2024-01-01T10:00:00,20.0,7.46,51.02,20.0369
2024-01-01T10:05:00,20.0,7.45,51.02,20.0383
2024-01-01T10:10:00,20.0,7.26,51.02,20.0381
2024-01-01T10:15:00,20.0,7.23,52.71,20.0412
2024-01-01T10:20:00,20.0,7.11,52.71,20.0432
2024-01-01T10:25:00,20.0,7.29,52.71,20.0468
2024-01-01T10:30:00,20.0,7.16,47.49,20.0383
2024-01-01T10:35:00,20.0,6.92,47.49,20.0279
2024-01-01T10:40:00,20.0,6.71,47.49,20.0159
2024-01-01T10:45:00,20.0,6.54,53.81,20.0157
2024-01-01T10:50:00,20.0,6.73,53.81,20.0171
2024-01-01T10:55:00,20.0,6.57,53.81,20.0172
2024-01-01T11:00:00,20.0,6.23,55.12,20.0171
2024-01-01T11:05:00,20.0,6.2,55.12,20.0168
2024-01-01T11:10:00,20.0,6.32,55.12,20.0176
2024-01-01T11:15:00,20.0,6.06,53.78,20.0133
2024-01-01T11:20:00,20.0,5.92,53.78,20.0079
2024-01-01T11:25:00,20.0,5.93,53.78,20.0026
2024-01-01T11:30:00,20.0,5.58,57.38,20.0019
2024-01-01T11:35:00,20.0,5.73,57.38,20.0025
2024-01-01T11:40:00,20.0,5.67,57.38,20.0026
2024-01-01T11:45:00,20.0,5.31,53.73,19.9921
2024-01-01T11:50:00,20.0,5.3,53.73,19.9816
2024-01-01T11:55:00,20.0,5.07,53.73,19.9693
2024-01-01T12:00:00,20.0,5.04,57.37,19.9643
2024-01-01T12:05:00,20.0,4.86,57.37,19.958
2024-01-01T12:10:00,20.0,5.04,57.37,19.9532
2024-01-01T12:15:00,20.0,4.87,67.4,19.9679
2024-01-01T12:20:00,20.0,4.72,67.4,19.9813
2024-01-01T12:25:00,20.0,4.46,67.4,19.9923
2024-01-01T12:30:00,20.0,4.54,60.49,19.9895
2024-01-01T12:35:00,20.0,4.35,60.49,19.9853
2024-01-01T12:40:00,20.0,4.4,60.49,19.9814
2024-01-01T12:45:00,20.0,3.95,67.73,19.9888
2024-01-01T12:50:00,20.0,4.17,67.73,19.9981
2024-01-01T12:55:00,20.0,3.73,67.73,20.0037
2024-01-01T13:00:00,20.0,3.8,63.32,20.0005
2024-01-01T13:05:00,20.0,3.84,63.32,19.9978
2024-01-01T13:10:00,20.0,3.54,63.32,19.9926
2024-01-01T13:15:00,20.0,3.31,69.45,19.9982
2024-01-01T13:20:00,20.0,3.38,69.45,20.0044
2024-01-01T13:25:00,20.0,3.32,69.45,20.01
2024-01-01T13:30:00,20.0,3.01,71.03,20.0163
2024-01-01T13:35:00,20.0,2.96,71.03,20.0222
2024-01-01T13:40:00,20.0,2.9,71.03,20.0275
2024-01-01T13:45:00,20.0,2.83,64.59,20.0187
2024-01-01T13:50:00,20.0,2.73,64.59,20.0091
2024-01-01T13:55:00,20.0,2.52,64.59,19.9979
2024-01-01T14:00:00,20.0,2.65,64.78,19.9883
2024-01-01T14:05:00,20.0,2.53,64.78,19.9778
2024-01-01T14:10:00,20.0,2.32,64.78,19.9656
2024-01-01T14:15:00,20.0,2.26,75.67,19.9757
2024-01-01T14:20:00,20.0,2.1,75.67,19.9844
2024-01-01T14:25:00,20.0,1.95,75.67,19.9918
2024-01-01T14:30:00,20.0,1.96,72.48,19.9925
2024-01-01T14:35:00,20.0,1.89,72.48,19.9927
2024-01-01T14:40:00,20.0,1.85,72.48,19.9925
2024-01-01T14:45:00,20.0,1.69,76.37,19.9991
2024-01-01T14:50:00,20.0,1.78,76.37,20.0063
2024-01-01T14:55:00,20.0,1.81,76.37,20.0139
2024-01-01T15:00:00,20.0,1.6,70.87,20.008
2024-01-01T15:05:00,20.0,1.56,70.87,20.0019
2024-01-01T15:10:00,20.0,1.22,70.87,19.993
2024-01-01T15:15:00,20.0,1.39,75.42,19.9952
2024-01-01T15:20:00,20.0,1.37,75.42,19.997
2024-01-01T15:25:00,20.0,1.35,75.42,19.9988
2024-01-01T15:30:00,20.0,1.05,79.26,20.006
2024-01-01T15:35:00,20.0,0.85,79.26,20.0115
2024-01-01T15:40:00,20.0,0.91,79.26,20.0174
2024-01-01T15:45:00,20.0,1.08,76.32,20.0186
2024-01-01T15:50:00,20.0,0.76,76.32,20.0171
2024-01-01T15:55:00,20.0,0.68,76.32,20.0149
2024-01-01T16:00:00,20.0,0.64,79.75,20.0196
2024-01-01T16:05:00,20.0,0.73,79.75,20.025
2024-01-01T16:10:00,20.0,0.44,79.75,20.0279
2024-01-01T16:15:00,20.0,0.41,73.36,20.0173
2024-01-01T16:20:00,20.0,0.35,73.36,20.0062
2024-01-01T16:25:00,20.0,0.58,73.36,19.9972
2024-01-01T16:30:00,20.0,0.46,81.9,20.005
2024-01-01T16:35:00,20.0,0.2,81.9,20.0106
2024-01-01T16:40:00,20.0,0.49,81.9,20.0185
2024-01-01T16:45:00,20.0,0.18,73.97,20.0072
2024-01-01T16:50:00,20.0,0.12,73.97,19.9956
2024-01-01T16:55:00,20.0,0.33,73.97,19.9858
2024-01-01T17:00:00,20.0,0.34,81.1,19.991
2024-01-01T17:05:00,20.0,-0.01,81.1,19.9933
2024-01-01T17:10:00,20.0,0.25,81.1,19.9978
2024-01-01T17:15:00,20.0,0.24,77.24,19.9941
2024-01-01T17:20:00,20.0,-0.02,77.24,19.9882
2024-01-01T17:25:00,20.0,0.15,77.24,19.9837
2024-01-01T17:30:00,20.0,0.08,76.36,19.977
2024-01-01T17:35:00,20.0,-0.08,76.36,19.9689
2024-01-01T17:40:00,20.0,0.19,76.36,19.9632
2024-01-01T17:45:00,20.0,0.1,85.34,19.9754
2024-01-01T17:50:00,20.0,-0.05,85.34,19.9864
